case,gender,shootingType,race,city,state,date,year,injured,killed,casualties,locationType,weaponObtained,weaponType,weaponDetails,lat,long
Marjory Stoneman Douglas High School Shooting,Male,Mass,White,Parkland,Florida,2/14/2018,2018,17,17,34,School,legally purchased by shooter,Semiautomatic rifle,Smith & Wesson M&P15 AR-15-style rifle,26.304483,-80.269365
Seaside High School Shooting,Male,Accidental,White,Seaside,California,3/13/2018,2018,3,0,3,School,department issued,Handgun,Glock 21 .45-caliber semiautomatic handgun,36.62444,-121.838
United States Postal Service shooting,Male,Mass,White,Edmond,Oklahoma,8/20/1986,1986,6,15,21,Workplace,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",35.667202,-97.42936707
ESL shooting,Male,Mass,White,Sunnyvale,California,2/16/1988,1988,4,7,11,Workplace,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",37.36883163,-122.0363464
Standard Gravure shooting,Male,Mass,White,Louisville,Kentucky,9/14/1989,1989,12,9,21,Workplace,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",38.25423813,-85.75940704
Royal Oak postal shootings,Male,Mass,White,Royal Oak,Michigan,11/14/1991,1991,5,5,10,Workplace,Local gun store,One rifle,.22-caliber Ruger sawed-off semiautomatic rifle,42.48947906,-83.14464569
Chuck E. Cheese's killings,Male,Mass,Black,Aurora,Colorado,12/14/1993,1993,1,4,5,Workplace,Unknown,One semiautomatic handgun,.25-caliber semiautomatic handgun,39.75471115,-104.8358688
Walter Rossler Company massacre,Male,Mass,White,Corpus Christi,Texas,4/3/1995,1995,0,6,6,Workplace,Unknown,"One semiautomatic handgun, one revolver",9mm Ruger semiautomatic handgun; .32-caliber revolver,27.8237133,-97.41739655
Fort Lauderdale revenge shooting,Male,Mass,Black,Fort Lauderdale,Florida,2/9/1996,1996,1,6,7,Workplace,Unknown,"One semiautomatic handgun, one revolver",9mm Glock semiautomatic handgun; .32-caliber revolver,26.12230873,-80.14337921
R.E. Phelon Company shooting,Male,Mass,Black,Aiken,South Carolina,9/15/1997,1997,3,4,7,Workplace,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,33.55986023,-81.72195435
Caltrans maintenance yard shooting,Male,Mass,Latino,Orange,California,12/18/1997,1997,2,5,7,Workplace,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),7.62mm AK-47 Chinese variant semiautomatic rifle,33.78779602,-117.8531113
Connecticut Lottery shooting,Male,Mass,White,Newington,Connecticut,3/6/1998,1998,1,5,6,Workplace,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,41.6856308,-72.72983551
Xerox killings,Male,Mass,Asian,Honolulu,Hawaii,11/2/1999,1999,0,7,7,Workplace,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii",One semiautomatic handgun,9mm Glock 17 semiautomatic handgun,21.32551193,-157.8473053
